Category,Published Date,News Headline,News Content / Summary,News Website Link (URL)
🏅 Sports,2025-11-17 17:00:35,59th Aqahuto Area Annual Sports Meet 2025 commences in Kiyeto - MorungExpress,59th Aqahuto Area Annual Sports Meet 2025 commences in Kiyeto  MorungExpress,https://news.google.com/rss/articles/CBMikAFBVV95cUxPQlJfMjhpRXI4NHVjWnBZNWJnTk9FcFBScU1SemxzWURMcU92SXJ1eEw1c2lOSDVfRGwyRl94VzBTMVgyNEhJVlRxVXlCdDBKZHJ4RzdTSERoVV9ibnJtcGlYNk01M2JCalRGQnJCM0I4R3JlSUROSGpaZlY3MGo2LUE3TEx3aGgyMzA1R3dRTmM?oc=5
🎬 Entertainment,2025-11-17 16:07:19,7 Actors Who Received An Honorary Oscar - Times Now,7 Actors Who Received An Honorary Oscar  Times Now,https://news.google.com/rss/articles/CBMiswFBVV95cUxNY25XSjMyNDAySF9wdjRmdzVSOVUyeXdsdWRkT3FRbEhTd0lzWktuaGlCMkdNVk5kak9HekJCZEJkZlRZQTBjQVd3NktqQ2JOek9GU2RlLTlrcUxTdjJBRGoyam1TNjFSU2dDVTJLQVBOSlN1ZWk4X2R3b1hYaHFmY1VtQkhDTk0tdXJTY20wV0dFOTA3Y1hkTl95MEQ2S3dsX3ZraElwZGhZbnl4clpMVG1aVdIBuAFBVV95cUxQeG1wYnhIVzJsNlNuOGRpdWNkNWJlaWdaTjdRRHlScVIwaUFJbDVyQWR0ZWxBSW9VMnlLTjFkMmxWYkFkQ3ZaZUNqQ3FWSDkxZ01WQjJ1ZGFpd3NxOFlvY09ycWlqSmZRdEdUMHl6cWhjcHBSc2ZpNFl1U0RuNF9aa3FjbXpoVThlOHRBeEthOFdQbWlIRFpPYTdNQjlWa0tCblJqaG14d2ZaZ0R5MjdXcmhiS0dfM2Q1?oc=5
🎬 Entertainment,2025-11-17 15:56:00,"Vikram Bhatt booked in Rs 30 crore fraud case by IVF doctor; filmmaker calls FIR ‘misleading’, alleges fo - The Times of India","Vikram Bhatt booked in Rs 30 crore fraud case by IVF doctor; filmmaker calls FIR ‘misleading’, alleges fo  The Times of India",https://news.google.com/rss/articles/CBMitwJBVV95cUxNbWtrVFU4R1ZtcUtIZWsxRmlwZXZya1JwbThNWm5rM25XMVFQSW1BUnZDMWVaRGJDYjZWdlNJMmVrVEdBZVl4Z1VlS3JmZUd6THZWOUFRUXZqTmVzdFFfQ2tmQ1dJeEhjU3ByOTMtc0JYSWh6RWxyYkVGUXp2TnBuUE9fakVTdEdpZHFBRks1Y2FzbFNKSFRpRC1PQ19kNDBEcTllckkyXzlXYlBBQ0Zlb1BzV05YQXk1cTc0MTFYSDJRZW50TjFodlNIV01RZ0d2aEhMczFxamhqejByV2R0Qnp0S2JtTENkbmZENW9ZRzBuV1JueFhGTW9XM0d3MVQ0RmViWV83ZE1EanVPUkVDSU5TODBXR3dQd1hEd1dvUWVBdHR4aEQ0bEZ0Rzh2N0tMQjR6NnJONNIBvAJBVV95cUxQQVlyV1M1dnhad2ZrcXpJb1RNTW9DRlRTRmJXeHZob2t3V2hJZk43dkJtZ0c0T0VTdWlIbEZhLXBBRkJEeHNoOGdtRzQzTVVITzUxaXVseDJXZXUwMGtSSExhUU9PYWRSOHJmbk9YbjBBV2VSUW13QkxtQm5GT3RPaUs5ckF5QTBTcUgydDAydWEyc3pLYU5KWjRmOUlVWUZfVDA3QWdpRHZRMy04UUJZNlRLQmcwUU1nZVVWUDE4MEJFajR6bGtfb2JYbGsxTkdQVjlVUWFDRXVwNjE1RFNBa1RzdjFMYVJlU29xS1phRUhPMG5sMDVtY21DU2hyWlN2WnFzdzBnSF9FTnRxbV9fSjJhbkVGUzh6X1FLTGF3SkNDZFRQSzhvTjhkWmx1NkVUYWtrOFFqOEVxNE1p?oc=5
🎬 Entertainment,2025-11-17 15:52:32,South Africa: Screen Talent and Global Entertainment Scheme Expression of Interest Period Now Open - Fragomen,South Africa: Screen Talent and Global Entertainment Scheme Expression of Interest Period Now Open  Fragomen,https://news.google.com/rss/articles/CBMi0gFBVV95cUxPSWhCLWFBSEh1LUpBTWtyNXl6OEREM0FucFg3TjhFTU9FeWxrYjUyTVBYajNvZHJrQWJGRjUxZ0hhUEVELXRQTHE3NERqa3hzOGt2Umpwb2sxQXJtYWVWam9pcHJoLWQ0T1REVmRIRGduT3M0N1lQWWRjbDhYU3VHa1AyYWVKeXpQeEkxSTRWZEQ5WWc0WVJ4dk1udjJpUGpBV3lJNU11Ty1GamhNQWJjaVFVYWtTTUNZczRuaGZGNlg3RXhYZjMzT09VcEVjeXZadXc?oc=5
💊 Health,2025-11-17 15:43:03,"IARC, WHO Academy, and other WHO partners launch new comprehensive learning programme on screening, diagnosis, and management of cervical precancer - World Health Organization (WHO)","IARC, WHO Academy, and other WHO partners launch new comprehensive learning programme on screening, diagnosis, and management of cervical precancer  World Health Organization (WHO)",https://news.google.com/rss/articles/CBMilAJBVV95cUxPRXNGQjEteGlzUEFPTXBGM3FVNFplZTNIcnBsUko4S1pieGtFb29wUnhlbWpCUU15SjZuaEZRUDN0RUFzTWo3dHNzdmd0bDdLVmN5RDlmTEVta09Fb1l5OWFST2gzMEt3Zi1TN0tOQzUwbHBCbW1GZzB4WjJpeW52cXZuMGVMN1BPSmlpY25ONExOWkI1WTlsdC1uWmxZeHB0Nmc2aVU5WDQxeVppY1Y3VE9neWhBMWdISDFla3owYVNrUDNJb3IxektsQVUwNlNGeGIySVZzdk95UHpKRjVuLWhVR0duRUZDWGNvcksyd25TbEtQMlFsUFRpcE5FTzlIN1paZVNSMUQ3NTA5ODh0M0RIRXI?oc=5
💊 Health,2025-11-17 15:39:00,Low institutional delivery rates: Health officials instructed to take corrective action - The Hindu,Low institutional delivery rates: Health officials instructed to take corrective action  The Hindu,https://news.google.com/rss/articles/CBMi3gFBVV95cUxNdlBJRmx6ZElZTWFmQXNYWng1TzM0R0FVeGRRcFk0Zk1OaEdwMmJwTm5uMTNocHJKOVY2ZzV3VkZZWW1ORW5nclNBWktkVy1yWThBY0VncjJmOFUyZm9GX1JQeWtWMVgxZmctR2hVR0stN2pQUnFVWHVJT1R4Q3V2Wkc2b1hrcTc5S3cyM1JKYllqTGo2Qnd5Y2poSzhzM01RdF9fQzFTQklHWlZvS2FUeTNscm5WMGxYdVBmVlVaUnVKYWNyUkNYOE0ya2dad0JkMU05anVKWFdwQ0xRU3fSAeQBQVVfeXFMTU1ETUplSEFZRm9lVVRDQmlMRmZ6NkhBVXVKaTR2T1hOV21HYTNES3QzMFJpYTVCYjNXZTN6QXZVeXYyZnFlR19wdE1TWUFVTjNRR0Z2MWp3UldrZWNZSVlwY0VwTHllYXMybUFCT3V2R1ZkclVLVGtPVEZnSUY2Qkh3YWNzQ0lUZXpPNHVZdXg5MU1udFNkSDdzSWRuckRyWkJZSkYxRjExVFhLM3NEOWszNkYzRm1GdG1UbGxGUDFPYlY1dEdLVUtTZ3NPZnBrYmNqX1duSkhRY0l6ZnRib0pEcjVf?oc=5
💊 Health,2025-11-17 15:35:19,"WHO Director-General's opening remarks at the strategic dialogue ""Healthy Planet, Healthy Future: uniting for tobacco-free generations"" – 17 November 2025 - World Health Organization (WHO)","WHO Director-General's opening remarks at the strategic dialogue ""Healthy Planet, Healthy Future: uniting for tobacco-free generations"" – 17 November 2025  World Health Organization (WHO)",https://news.google.com/rss/articles/CBMinAJBVV95cUxNUFJPLVE5Yl9yYUVFMTBPNk9VYWNzODlLWnpiSzRUODY3TE9mWWVqdlpkNjJ5bjZ3Uml0RWJ5U0VJWnRtZ29uYjdCWkdlSFpMWFozQVBuX1Q0TGhpNjlpdzZma0UwZFZ0RFBxTDB3ZzZZRXhUc2lHUDNPTTZPSm9Qa0txbGFyM3RKa0tiaFV1MzViRlFLdHBpd3BodjBPU3h1Yy1jR0ZaOWpTSmp2RlpGQVhEM0d2UkJraUVVYktHckVydUE3cEdiRjExcldKXzE2U0IzYWJGbl9fWDFTRFBZRUdoeUNDWlBlVVJjNC1ZYnJtQ1Rzd09kbjZyVjc0cUthbUxHYVpmY29td3JWSUNYYmo4OFVRT1lOOFZPSg?oc=5
💊 Health,2025-11-17 15:18:57,EU Clears Path for Biosimilars in Diabetes & Bone Health - Medscape,EU Clears Path for Biosimilars in Diabetes & Bone Health  Medscape,https://news.google.com/rss/articles/CBMingFBVV95cUxQTWVLeG1CLWVKUG1VTjMxaGFWN0pfdFB2NlpQUFdiZ3pKeTV3QWFyRVdFc2dmUVRXU1RUQlg1ZWxmSFJXZFhvWWhsRTRnYWF6RjFzcUo1WC1Lcmx6N1F2b21Wb0RFSTJVeGJpUmVleU93V1pJYXNQdFZ2SVp0UHdOdkNGN2VxYmNkY0lhbmZObGV6U3c5MUZrSllYNEpLZw?oc=5
🖥️ Technology,2025-11-17 15:06:00,CEO of America’s second largest ride-hailing app Lyft says self-driving technology is not entirely ready: - The Times of India,CEO of America’s second largest ride-hailing app Lyft says self-driving technology is not entirely ready:  The Times of India,https://news.google.com/rss/articles/CBMipAJBVV95cUxQQ1RnOTBIVmFZMmM3d3g4MFI0NGhkYThua05vRzc5ZHBLdTZ3cnc3emllMlZwMVVlN3VPdW9XeDk1TmJtVktvTzdJWUZwYmxsZ1AyYWIwUVI2U1hEM1hCVWg0eXVzR0x1OWMwZnhXN081cnFQOXd1RUlVNm1PRTRNU1dNLUFzOGo4LWhaVUVXdk4tRWd5OHdvQ3EwRjVoQ2dmU3FWNExpUU00U2JWRm50Ykg0MFlVSnE3X1NDVzFJUVNsa3VkWHhtel93QTExajFVb1hjemhVTEVPVGFSb0tzZVQ1TV9BcmVKZElXZVZGTlZxeDJHa0F1RVhEUzZjWko0a1pBaldyRjdoLWhGdjhJSmhmQ0pOU294bHdYRWpELXd4dnc30gGqAkFVX3lxTE9RX2Jnc2FYbWlfUUpCdkV2ZnhNTjlSQ1luLUhDOUI5LVJfUjRqR2M1bDFzTUo4MFk2YUlLNkU0MGtkeHcxS2liS1l0RnEtU21GRVZqa1FybVEyQmVZa2tKbk53eDIySFlHaVFGNG41R2xoNGR0U3gxVklmaXRLSzlqVUUzdV91WWJQU0RSeS03bnVmNnR0Rk1sbG1MMl9YeGhNemx6YnBxRXRVVmxHN3RVTm95RUI2UFp3dkJ0R1dQbEJ2ZFpyaGdLZ2hvUEw1LXJqRjdTWmNXanVXU3BOVlVWbERGZDBWajA2WHBEaklpYVNMZlB6MkVnT1FwVFZIdFJZeVVzUlIwa3lBSi1Ncm9YQnI0Sl9hdDYwbTA1UllJT21LOGptcDlMdUE?oc=5
🖥️ Technology,2025-11-17 14:41:32,"India’s Best CEOs 2025 awards: Technology will be the great leveller, says K.V. Kamath on the next phase of financial services - Fortune India","India’s Best CEOs 2025 awards: Technology will be the great leveller, says K.V. Kamath on the next phase of financial services  Fortune India",https://news.google.com/rss/articles/CBMigAJBVV95cUxNblk0UFdMWjFVS2xMT3hjQjNOdDhDM3hQYmFrcTRlaXVNZzFCY0FCNXhsdVU4QS1kWkp3MFJCTV9hQlJBVkItSXJITUstVjhSSHBkcjliX2dWcW5KRGJMZ183Q1BzVjZkZUdpcmJGLW9kelNhSmJNbEVSVDNfOVUtcUNISVp5eDNDVWNjM2FlNGllbFl3enllTHNLcmxyYjFqT0xCNzJPclJsVFdib0g4REM3MjBXdHprcjRwbVZfdmlpTm1NVVpXUnBIZ3NaNnl2N1J2Qi1wUHVWcVNtM1g3TVdkUTRmc1U2U0xCLUVhNUdsN3l1NTlBOXJYZ1l6bGRh0gGOAkFVX3lxTE1iXzYxeGRZY05GMXhaUFZxZ1d1cjJNaExObGN0RF9TR2o2d211R1ZkejBiLTJqcElHQVVQb2hQY29LUzQxQkxPNTF2UVA4X0VIZWFpenRHM0sxQWlkSFpMRWVXLXB0MFR1S3RSN1FfTXRQTFFVSXFsNXJwd244TV9SU0pyOWpsQ3NNZmw2SlUzVzM4TFp5Ui1FV0ZCQ19NMU5EYy1OTHlHMFYzVGRFYWtqdVVPSXQ0dlpmTUVfOHdkTnN6VGRvcmI1ZDlrWk5IeW4wb0JjMkE2Z3VuLWRMUWxaRTBKR1NpekVBQ25VX3B6WkdBTGVxSmo2NWlVSVlHMzJQWWZyZHN0U3Rmem50UQ?oc=5
